PlayerName,Points
Austin Croshere,11
Travis Best,7
Milt Palacio,2
Bryant Stith,3
Bryant Stith,4
Reggie Miller,10
Jeff Foster,1
Al Harrington,2
Antoine Walker,5
Travis Best,9
Randy Brown,4
Randy Brown,6
Jalen Rose,2
Jalen Rose,3
Antoine Walker,6
Travis Best,10
Jalen Rose,5
Sam Perkins,2
Sam Perkins,3
Travis Best,13
Jalen Rose,7
Paul Pierce,8
Jalen Rose,8
Jalen Rose,9
Paul Pierce,10
Jalen Rose,10
Jalen Rose,11
Paul Pierce,12
Antoine Walker,8
Travis Best,15
Tony Battie,6
Bryant Stith,6
Austin Croshere,14
Bryant Stith,9
Jermaine O'Neal,6
Jermaine O'Neal,8
Bryant Stith,12
Bryant Stith,14
Travis Best,16
Antoine Walker,10
Antoine Walker,13
Jalen Rose,13
Bryant Stith,15
Paul Pierce,15
Travis Best,18
Paul Pierce,16
Paul Pierce,17
Jalen Rose,14
Jalen Rose,15
Travis Best,19
Paul Pierce,19
Paul Pierce,22
Paul Pierce,23
Paul Pierce,24
Jeff Foster,3
Jeff Foster,5
Austin Croshere,16
Adrian Griffin,1
Al Harrington,4
Jalen Rose,16
Jalen Rose,17
Jeff Foster,7
Bryant Stith,17
Travis Best,21
Jalen Rose,19
Derrick McKey,2
Bryant Stith,20
Travis Best,23
Bryant Stith,23
Paul Pierce,26
Al Harrington,6
Jalen Rose,20
Jalen Rose,21
Jalen Rose,22
Bryant Stith,25
Travis Best,25
Travis Best,27
Paul Pierce,29
Antoine Walker,16
Jalen Rose,25
Kevin Garnett,2
Terrell Brandon,2
Corey Benjamin,2
Chauncey Billups,1
Terrell Brandon,4
Metta World Peace,2
Kevin Garnett,4
Marcus Fizer,2
Rasho Nesterovic,2
Khalid El-Amin,2
Wally Szczerbiak,2
Corey Benjamin,4
Rasho Nesterovic,4
Metta World Peace,4
Chauncey Billups,3
Marcus Fizer,4
Chauncey Billups,5
Metta World Peace,6
Terrell Brandon,6
Dragan Tarlac,2
Terrell Brandon,8
Khalid El-Amin,4
Marcus Fizer,6
Marcus Fizer,8
Kevin Garnett,6
Kevin Garnett,7
Kevin Garnett,8
Jamal Crawford,2
LaPhonso Ellis,2
Anthony Peeler,1
Chauncey Billups,6
Chauncey Billups,7
LaPhonso Ellis,4
Khalid El-Amin,6
Anthony Peeler,3
Corey Benjamin,5
Chauncey Billups,8
Chauncey Billups,9
Chauncey Billups,11
Michael Ruffin,2
LaPhonso Ellis,6
LaPhonso Ellis,7
Chauncey Billups,13
Metta World Peace,7
Metta World Peace,8
Wally Szczerbiak,4
Marcus Fizer,9
Michael Ruffin,4
Terrell Brandon,10
